Downloaded from wid.world on 18-01-2022 at 11:44:06;;;;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1913;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1914;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1915;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1916;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1917;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1918;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1919;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1920;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1921;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1922;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1923;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1924;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1925;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1926;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1927;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1928;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1929;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1930;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1931;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1932;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1933;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1934;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1935;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1936;
Albania;"tdiinc_p40p50_992_j_AL
Post-tax national income
P40-50 | threshold | adults | equal split |  | ppp | constant (2021)
";p40p50;1937;
